registration_tax,amount,%change,year
0105521016430,"1,681,323.29",-6.04,2017
0105521016430,"929,244.30",-44.73,2018
0205559029881,N/A,N/A,2016
0205559029881,"9,500.00",N/A,2017
0205559029881,"19,000.00",100.00,2018
0845541001113,"1,201,637.38",4.86,2016
0845541001113,"778,332.55",-35.22,2017
0845541001113,"40,000.00",-94.86,2018
0105557172351,"19,380.00",-51.65,2016
0105557172351,"19,383.41",0.01,2017
0105557172351,"19,382.73",N/A,2018
0355546000012,"4,538,150.46",-27.81,2017
0355546000012,"2,184,292.87",-51.86,2018
0355546000012,"1,102,680.65",-49.51,2019
0125549007991,"84,501,606.06",7.64,2016
0125549007991,"90,171,937.18",6.71,2017
0125549007991,"87,352,690.37",-3.12,2018
0115547010307,N/A,N/A,
0115547010307,N/A,N/A,
0115547010307,N/A,N/A,
0105550069686,"1,511,463.89",-46.69,2016
0105550069686,"898,671.45",-40.54,2017
0105550069686,"5,989.63",-99.33,2018
0105560167729,N/A,N/A,2016
0105560167729,"5,638.70",N/A,2017
0105560167729,"2,222,951.95","39,323.12",2018
0105560162930,N/A,N/A,2015
0105560162930,N/A,N/A,2016
0105560162930,"7,277.74",N/A,2017
0845560007725,N/A,N/A,2016
0845560007725,"18,941.79",N/A,2017
0845560007725,"53,595.00",182.94,2018
0105547130523,"9,975.09",148.53,2015
0105547130523,8.59,-99.91,2016
0105547130523,"2,858.59","33,178.11",2017
0105559125660,"229,186.94",N/A,2016
0105559125660,"170,181.34",-25.74,2017
0105559125660,"343,290.81",101.72,2018
0105552137115,N/A,N/A,2016
0105552137115,N/A,N/A,2017
0105552137115,"52,374,608.01",N/A,2018
0105558124112,"4,441,353.88",194.06,2016
0105558124112,"8,132,891.08",83.11,2017
0105558124112,"372,918.28",-95.41,2018
0845544000223,"10,230,379.40",-75.57,2012
0845544000223,"14,335,900.80",40.13,2013
0845544000223,"1,581,883.39",-88.96,2014
0105560051127,N/A,N/A,2015
0105560051127,N/A,N/A,2016
0105560051127,"846,504.62",N/A,2017
0445559000201,N/A,N/A,
0445559000201,N/A,N/A,
0445559000201,N/A,N/A,
0205556000776,"4,454,451.12",83.45,2016
0205556000776,"5,047,881.57",13.32,2017
0205556000776,"4,696,363.30",-6.96,2018
0105544014921,N/A,N/A,
0105544014921,N/A,N/A,
0105544014921,N/A,N/A,
0105555103742,"4,246,041.69",-94.92,2016
0105555103742,"6,960,387.25",63.92,2017
0105555103742,"11,588.15",-99.83,2018
0105528020637,"6,179,811.03",-10.88,2016
0105528020637,"5,801,598.77",-6.12,2017
0105528020637,"4,852,474.55",-16.35,2018
0345550000081,"32,687,865.80",39.46,2016
0345550000081,"32,438,983.10",-0.76,2017
0345550000081,"28,673,650.62",-11.60,2018
0125534002696,"22,823,647.84",24.77,2015
0125534002696,"49,910.70",-99.78,2016
0125534002696,"70,923.65",42.10,2017
0105532008778,"44,988,780.81",-2.70,2016
0105532008778,"44,733,305.66",-0.56,2017
0105532008778,"28,504,252.77",-36.27,2018
0415541000013,"3,803,535.30",18.74,2016
0415541000013,"3,840,836.10",0.98,2017
0415541000013,"3,982,350.36",3.68,2018
0105549102055,39.05,-10.84,2015
0105549102055,39.19,0.35,2016
0105549102055,39.34,0.38,2017
0305535000504,"19,539,228.99",44.15,2016
0305535000504,"20,145,543.57",3.10,2017
0305535000504,"25,212,601.99",25.15,2018
0105548065253,"4,303,324.17",-43.82,2016
0105548065253,"55,432,847.99","1,188.14",2017
0105548065253,"4,937,976.99",-91.09,2018
0105559158711,N/A,N/A,2016
0105559158711,N/A,N/A,2017
0105559158711,N/A,N/A,2018
0105533063926,"4,141,493.33",-51.49,2016
0105533063926,N/A,N/A,2017
0105533063926,"3,801,570.11",N/A,2018
0105557121870,"6,007,282.39",-38.48,2016
0105557121870,"3,196,913.01",-46.78,2017
0105557121870,"9,330,458.86",191.85,2018
0105552126954,"115,061,130.12",93.56,2016
0105552126954,"116,497,888.97",1.24,2017
0105552126954,"136,346,813.11",17.03,2018
0105525043474,N/A,N/A,
0105525043474,N/A,N/A,
0105525043474,N/A,N/A,
0125556024269,"1,280,783.64",17.32,2016
0125556024269,"183,264.72",-85.69,2017
0125556024269,N/A,-100.00,2018
0115559013853,"151,177.36",N/A,2016
0115559013853,"388,382.10",156.90,2017
0115559013853,"810,290.53",108.63,2018
0105552020048,"5,168,000.00",-3.68,2016
0105552020048,"9,568,000.00",85.13,2017
0105552020048,"28,211,349.02",194.85,2018
0105544119804,"7,693,038.51",64.14,2016
0105544119804,"9,743,884.26",26.65,2017
0105544119804,"10,952,142.41",12.40,2018
0105559014175,"150,580.34",N/A,2016
0105559014175,"1,627,436.57",980.77,2017
0105559014175,"10,583,020.76",550.28,2018
0105560157529,N/A,N/A,2016
0105560157529,"8,770.19",N/A,2017
0105560157529,"1,609,527.24","18,252.25",2018
0845546000204,"98,209.26",-96.50,2013
0845546000204,"11,315,360.47","11,421.68",2014
0845546000204,"29,285,934.30",158.81,2015
0125554017460,"12,710.00",N/A,2016
